sku,name,category,brand,vehicle_fitment,price_inr,stock,description
CAR-1024,Car Seat Cover Set — Kia Seltos,Car Care & Accessories,Bosch,Kia Seltos,11840,423,"Bosch car seat cover set engineered to fit the Kia Seltos. Direct-fit replacement, easy install."
BDY-1014,Side Mirror Set — Honda Hornet 2.0,Body & Styling,RAMMOUNT,Honda Hornet 2.0,340,245,"RAMMOUNT side mirror set engineered to fit the Honda Hornet 2.0. Direct-fit replacement, easy install."
CHN-1037,Clutch Plate Set — Yamaha FZ,Drivetrain,VIKMO Select,Yamaha FZ,2725,423,"VIKMO Select clutch plate set engineered to fit the Yamaha FZ. Direct-fit replacement, easy install."
TYR-1009,Tubeless Tyre — Honda Unicorn,Tyres & Tubes,CEAT,Honda Unicorn,3435,324,"CEAT tubeless tyre engineered to fit the Honda Unicorn. Direct-fit replacement, easy install."
ELE-1051,Horn Set — Yamaha R15,Lighting & Electrical,Uno Minda,Yamaha R15,1380,0,"Uno Minda horn set engineered to fit the Yamaha R15. Direct-fit replacement, easy install."
OIL-1001,Engine Oil 10W30 1L — Universal,Engine & Oils,Castrol,Universal,585,10,Castrol engine oil 10w30 1l suitable for most motorcycles and scooters.
BRK-1007,Brake Pad Set — Royal Enfield Meteor 350,Brakes,TVS,Royal Enfield Meteor 350,530,474,"TVS brake pad set engineered to fit the Royal Enfield Meteor 350. Direct-fit replacement, easy install."
GRP-1052,Throttle Cable — Royal Enfield Meteor 350,Controls & Grips,VIKMO Select,Royal Enfield Meteor 350,595,238,"VIKMO Select throttle cable engineered to fit the Royal Enfield Meteor 350. Direct-fit replacement, easy install."
FIL-1006,Air Filter — TVS Apache RTR 160,Filters,Purolator,TVS Apache RTR 160,410,2,"Purolator air filter engineered to fit the TVS Apache RTR 160. Direct-fit replacement, easy install."
BRK-1088,Brake Disc Rotor — Bajaj Pulsar NS200,Brakes,Brembo,Bajaj Pulsar NS200,915,90,"Brembo brake disc rotor engineered to fit the Bajaj Pulsar NS200. Direct-fit replacement, easy install."
BDY-1097,Side Mirror Set — Yamaha FZ,Body & Styling,ZANA,Yamaha FZ,2110,199,"ZANA side mirror set engineered to fit the Yamaha FZ. Direct-fit replacement, easy install."
FIL-1032,Fuel Filter — Honda Hornet 2.0,Filters,Purolator,Honda Hornet 2.0,560,434,"Purolator fuel filter engineered to fit the Honda Hornet 2.0. Direct-fit replacement, easy install."
TYR-1015,Tube — Honda CB Shine,Tyres & Tubes,CEAT,Honda CB Shine,860,303,"CEAT tube engineered to fit the Honda CB Shine. Direct-fit replacement, easy install."
ELE-1087,Tail Light Assembly — Bajaj Pulsar 220F,Lighting & Electrical,Lumax,Bajaj Pulsar 220F,1775,351,"Lumax tail light assembly engineered to fit the Bajaj Pulsar 220F. Direct-fit replacement, easy install."
GRP-1025,Bar End Set — Yamaha R15,Controls & Grips,Domino,Yamaha R15,535,46,"Domino bar end set engineered to fit the Yamaha R15. Direct-fit replacement, easy install."
CHN-1033,Clutch Cable — Honda Hornet 2.0,Drivetrain,VIKMO Select,Honda Hornet 2.0,405,6,"VIKMO Select clutch cable engineered to fit the Honda Hornet 2.0. Direct-fit replacement, easy install."
BDY-1095,Crash Guard — Honda CB Shine,Body & Styling,RAMMOUNT,Honda CB Shine,2920,4,"RAMMOUNT crash guard engineered to fit the Honda CB Shine. Direct-fit replacement, easy install."
BDY-1002,Side Mirror Set — Bajaj Pulsar NS200,Body & Styling,RAMMOUNT,Bajaj Pulsar NS200,925,296,"RAMMOUNT side mirror set engineered to fit the Bajaj Pulsar NS200. Direct-fit replacement, easy install."
FIL-1013,Oil Filter — Hero Xtreme 160R,Filters,Bosch,Hero Xtreme 160R,175,460,"Bosch oil filter engineered to fit the Hero Xtreme 160R. Direct-fit replacement, easy install."
ELE-1013,LED Indicator Set — Bajaj Pulsar 220F,Lighting & Electrical,Bosch,Bajaj Pulsar 220F,1095,253,"Bosch led indicator set engineered to fit the Bajaj Pulsar 220F. Direct-fit replacement, easy install."
BRK-1091,Brake Lever — KTM Duke 200,Brakes,VIKMO Select,KTM Duke 200,955,285,"VIKMO Select brake lever engineered to fit the KTM Duke 200. Direct-fit replacement, easy install."
BDY-1035,Tank Pad — Yamaha MT-15,Body & Styling,RAMMOUNT,Yamaha MT-15,655,127,"RAMMOUNT tank pad engineered to fit the Yamaha MT-15. Direct-fit replacement, easy install."
BRK-1087,Brake Lever — TVS Apache RTR 160,Brakes,VIKMO Select,TVS Apache RTR 160,1330,91,"VIKMO Select brake lever engineered to fit the TVS Apache RTR 160. Direct-fit replacement, easy install."
CAR-1001,Car Floor Mat Set — Maruti Swift,Car Care & Accessories,Bosch,Maruti Swift,3075,278,"Bosch car floor mat set engineered to fit the Maruti Swift. Direct-fit replacement, easy install."
ELE-1080,Battery — Suzuki Gixxer,Lighting & Electrical,Livguard,Suzuki Gixxer,3305,10,"Livguard battery engineered to fit the Suzuki Gixxer. Direct-fit replacement, easy install."
ELE-1028,LED Indicator Set — TVS Apache RTR 160,Lighting & Electrical,Lumax,TVS Apache RTR 160,380,131,"Lumax led indicator set engineered to fit the TVS Apache RTR 160. Direct-fit replacement, easy install."
BDY-1050,Tail Tidy — Honda Hornet 2.0,Body & Styling,RAMMOUNT,Honda Hornet 2.0,1045,5,"RAMMOUNT tail tidy engineered to fit the Honda Hornet 2.0. Direct-fit replacement, easy install."
BRK-1003,Brake Pad Set — KTM Duke 200,Brakes,VIKMO Select,KTM Duke 200,490,0,"VIKMO Select brake pad set engineered to fit the KTM Duke 200. Direct-fit replacement, easy install."
BDY-1026,Crash Guard — Bajaj Dominar 400,Body & Styling,VIKMO Select,Bajaj Dominar 400,3220,0,"VIKMO Select crash guard engineered to fit the Bajaj Dominar 400. Direct-fit replacement, easy install."
BDY-1090,Tail Tidy — Yamaha MT-15,Body & Styling,RAMMOUNT,Yamaha MT-15,750,330,"RAMMOUNT tail tidy engineered to fit the Yamaha MT-15. Direct-fit replacement, easy install."
