date,sku,units_sold,promo_flag
2024-12-16,FIL-1001,30,0
2024-12-23,FIL-1001,23,0
2024-12-30,FIL-1001,22,0
2025-01-06,FIL-1001,14,0
2025-01-13,FIL-1001,22,0
2025-01-20,FIL-1001,60,1
2025-01-27,FIL-1001,22,0
2025-02-03,FIL-1001,21,0
2025-02-10,FIL-1001,26,0
2025-02-17,FIL-1001,14,0
2025-02-24,FIL-1001,27,0
2025-03-03,FIL-1001,15,0
2025-03-10,FIL-1001,16,0
2025-03-17,FIL-1001,17,0
2025-03-24,FIL-1001,24,0
2025-03-31,FIL-1001,25,0
2025-04-07,FIL-1001,20,0
2025-04-14,FIL-1001,19,0
2025-04-21,FIL-1001,20,0
2025-04-28,FIL-1001,22,0
2025-05-05,FIL-1001,23,0
2025-05-12,FIL-1001,32,1
2025-05-19,FIL-1001,19,0
2025-05-26,FIL-1001,24,0
2025-06-02,FIL-1001,25,0
2025-06-09,FIL-1001,20,0
2025-06-16,FIL-1001,13,0
2025-06-23,FIL-1001,28,0
2025-06-30,FIL-1001,24,0
2025-07-07,FIL-1001,24,0
2025-07-14,FIL-1001,23,0
2025-07-21,FIL-1001,21,0
2025-07-28,FIL-1001,16,0
2025-08-04,FIL-1001,20,0
2025-08-11,FIL-1001,28,0
2025-08-18,FIL-1001,22,0
2025-08-25,FIL-1001,32,0
2025-09-01,FIL-1001,26,0
2025-09-08,FIL-1001,23,0
2025-09-15,FIL-1001,25,0
2025-09-22,FIL-1001,34,0
2025-09-29,FIL-1001,24,0
2025-10-06,FIL-1001,44,0
2025-10-13,FIL-1001,26,0
2025-10-20,FIL-1001,33,0
2025-10-27,FIL-1001,33,0
2025-11-03,FIL-1001,45,0
2025-11-10,FIL-1001,43,0
2025-11-17,FIL-1001,35,0
2025-11-24,FIL-1001,27,0
2025-12-01,FIL-1001,34,0
2025-12-08,FIL-1001,38,0
2025-12-15,FIL-1001,34,0
2025-12-22,FIL-1001,26,0
2025-12-29,FIL-1001,26,0
2026-01-05,FIL-1001,14,0
2026-01-12,FIL-1001,28,0
2026-01-19,FIL-1001,23,0
2026-01-26,FIL-1001,28,0
2026-02-02,FIL-1001,24,0
2026-02-09,FIL-1001,32,1
2026-02-16,FIL-1001,26,0
2026-02-23,FIL-1001,24,0
2026-03-02,FIL-1001,17,0
2026-03-09,FIL-1001,20,0
2026-03-16,FIL-1001,14,0
2026-03-23,FIL-1001,19,0
2026-03-30,FIL-1001,21,0
2026-04-06,FIL-1001,32,1
2026-04-13,FIL-1001,20,0
2026-04-20,FIL-1001,16,0
2026-04-27,FIL-1001,19,0
2026-05-04,FIL-1001,21,0
2026-05-11,FIL-1001,16,0
2026-05-18,FIL-1001,23,0
2026-05-25,FIL-1001,10,0
2026-06-01,FIL-1001,17,0
2026-06-08,FIL-1001,14,0
2024-12-16,CHN-1023,11,0
2024-12-23,CHN-1023,13,0
2024-12-30,CHN-1023,7,0
2025-01-06,CHN-1023,12,0
2025-01-13,CHN-1023,18,0
2025-01-20,CHN-1023,11,0
2025-01-27,CHN-1023,15,0
2025-02-03,CHN-1023,14,0
2025-02-10,CHN-1023,17,0
2025-02-17,CHN-1023,19,0
2025-02-24,CHN-1023,9,0
2025-03-03,CHN-1023,18,0
2025-03-10,CHN-1023,17,0
2025-03-17,CHN-1023,11,0
2025-03-24,CHN-1023,20,0
2025-03-31,CHN-1023,9,0
2025-04-07,CHN-1023,16,0
2025-04-14,CHN-1023,28,1
2025-04-21,CHN-1023,11,0
2025-04-28,CHN-1023,13,0
2025-05-05,CHN-1023,11,0
2025-05-12,CHN-1023,35,1
2025-05-19,CHN-1023,10,0
2025-05-26,CHN-1023,9,0
2025-06-02,CHN-1023,16,0
2025-06-09,CHN-1023,10,0
2025-06-16,CHN-1023,9,0
2025-06-23,CHN-1023,14,0
2025-06-30,CHN-1023,16,0
2025-07-07,CHN-1023,9,0
